review,label,score,tokenized
"영화 진짜 잘만들었네,, 엄마랑 봤는데 둘다 재밌다고ㅋㅋㅋ",97 %,긍정,"['영화', '진짜', '잘만들었네,,', '엄마', '봤는데', '둘다', '재밌']"
요즘본영화중에제일재밌었다 너무너무재밌었고얼마나많은생각이들던지,99 %,긍정,"['요즘', '너무']"
재미있었지만 억지로 끼워맞춘것도 있었음,66 %,부정,"['재미', '억지', '끼워맞춘것도', '있었']"
배우들의 매력을 잘 살린 영화 같아요!,98 %,긍정,"['배우', '매력', '잘', '살린', '영화', '같아요']"
생각지 못한 고퀄영화재밌게 날카로운 시대영화,83 %,긍정,"['생각', '못한', '고퀄영화재밌게', '날카로운', '시대']"
요즘 뭔가팡하고 터지는영화가없어서 기대를1도안하고봐서 그런가. 생각보다재밋엇음ㅎㅎ,93 %,긍정,"['요즘', '뭔가팡하고', '터지는영화가없어서', '기대', '그런', '생각']"
기대안하고봤는데 진지하면서도 코믹해서 남자친구랑 넘 재밌게 봤어용 ㅎㅎ 시간가는 줄 몰랐네요,99 %,긍정,"['기대', '진지하면서도', '코믹해서', '남자', '넘', '재밌', '봤어', 'ㅎㅎ', '시간', '줄', '몰랐네요']"
"90년대 배경, 톡톡 튀는 세 배우들 덕분에 즐거운 시간이었습니다.",99 %,긍정,"['90년대', '배경', '톡톡', '튀는', '세', '배우', '덕분에', '즐거운', '시간']"
옛 추억도 생각나고 재미 있었어요 ㅎㅎ,99 %,긍정,"['옛', '추억도', '생각', '재미', '있었', 'ㅎㅎ']"
보람이도 람보도 귀여웡ㅋ,78 %,긍정,"['보람이도', '람보도', '귀여웡ㅋ']"
일단 제목이 특이하고 기억에 남아서 보자 생각하고 쉬는날 엄마랑 같이 갔는데 좋은 선택이었어요 딱 어머니세대 얘기라 공감이 많이갔고 너무 재밌었다고 하셨어용 물론 시대적 배경 빼고도 충분히 재밌는 요소가 가득하고 반...,99 %,긍정,"['일단', '제목', '특이하고', '기억에', '남아서', '보자', '생각', '쉬는날', '엄마', '같이', '갔는데', '좋은', '선택이었어요', '딱', '어머니세대', '얘기라', '공감', '많이', '너무', '재밌', '하셨어용', '물론', '시대', '배경', '빼고도', '충분히', '재밌', '요소가', '가득하고', '반...']"
삶에 정답은 없지만 남에게 해를 끼치고 살지않았으면..,99 %,긍정,"['삶에', '정답은', '없지만', '남에게', '해를', '끼치고', '살지않았으면..']"
생각지도 못한 수작이ㅋㅋㅋ 개봉 하자마자 보길 잘한거 같아요ㅋㅋ,85 %,긍정,"['생각', '못한', '수작이ㅋㅋㅋ', '개봉', '하자마자', '보길', '잘한거', '같아요']"
결말이 좀 뻔했지만 뻔해서 더 좋은 작품이었습니다!,91 %,긍정,"['결말', '좀', '뻔했지만', '뻔해서', '더', '좋은', '작품이었습니다!']"
코로나19로 지친 올해 2020년 최고의 영화가 될 듯3명의 여주의 캐미가 돋보이고 무엇보다 1995년 시대를 디테일하게 잘표현하고 연출이 돋보입니다. 나름 재미와 반전 모두 갖춘 듯!!,99 %,긍정,"['코로나', '지친', '올해', '2020', '최고', '영화', '될', '듯3명의', '여주의', '캐미가', '돋보이고', '무엇보다', '1995년', '시대', '디테일하게', '잘표현하고', '연출', '돋보입니다.', '나름', '재미', '반전', '모두', '갖춘', '듯!!']"
재밌게 잘 봤음 이건 진짜 입소문 제대로 탈 듯 ㅋㅋ,95 %,긍정,"['재밌', '잘', '봤음', '이건', '진짜', '입소문', '제대로', '탈', '듯', 'ㅋㅋ']"
생각보다 더 재밌었던 영화! 굿굿!,97 %,긍정,"['생각', '더', '재밌', '영화', '굿굿!']"
영상미가 연출이 연기자들의 연기와 편집 구성 모두 다 좋았습니다,99 %,긍정,"['영상미가', '연출', '연기', '연기', '편집', '구성', '모두', '다', '좋았습니다']"
그냥 볼만해요. 약간 오글거릴 때가 있어요,94 %,긍정,"['그냥', '볼만', '약간', '오글거', '때가', '있어']"
"영화의 서사가 다소 개연성이 떨어져서 몰입감이 덜했으나, 오래간만에 접해보는 95년의 분위기는 나름대로 감동적^^",99 %,긍정,"['영화', '서사가', '다소', '개연성', '떨어져서', '몰입', '덜했으나,', '오래간만에', '접해보는', '95년의', '분위기는', '나름대로', '감동']"
"흥미로울 수 있었을 뻔했던 소재를 낭비한 예. 네이버 평균평점 믿지 마세요. 망작까진 아니지만, 성의가 부족한 각본에 시종일관 진부하고 유치합니다. 요즘에도 평점 알바가 이리 많다니, 정말 실망스러워요.",99 %,부정,"['흥미로울', '수', '있었', '뻔했던', '소재를', '낭비한', '예.', '네이버', '평균평점', '믿지', '마세요.', '망작까진', '아니', '성의가', '부족한', '각본에', '시종일관', '진부하고', '유치', '요즘', '평점', '알바', '이리', '많다니,', '정말', '실망']"
이런 평점 처음쓰는데 올해에 제일 재미없는 영화였어요 고아성 박혜수 연기는 너무 오글거려서 영화보다가 도망치고 싶을 정도 였네요..,99 %,부정,"['이런', '평점', '처음', '올해', '제일', '재미', '영화', '고아성', '박혜수', '연기', '너무', '오글거', '영화', '도망치고', '싶을', '정도', '였네요..']"
"기대를 너무 많이했나보다. 개연성이나 반전이 많이 떨어졌다... 주인공들의 캐릭터성이나 주제는 나쁘지 않았는데 용두사미 같은느낌이랄까.내부고발이나 회사의 비리를 다루는 영화의 경우 엄청난 무게감을 가지고 가거나, 아...",79 %,부정,"['기대', '너무', '많이', '개연성', '반전', '많이', '떨어졌다...', '주인공', '캐릭터', '주제는', '나쁘지', '않았', '용두사미', '같은', '회사', '비리를', '다루는', '영화', '경우', '엄청난', '무게감을', '가지고', '가거나,', '아...']"
그냥 킬링타임용인듯 막 뛰어나게 좋다 감동이다 이런건없음,74 %,부정,"['그냥', '킬링타임용인듯', '막', '뛰어나게', '좋다', '감동', '이런']"
기대했는데 재미도 없고 지루하고 웃기지도 않고 졸다가 나왔어요~ 시간이 아까웠어요,99 %,부정,"['기대', '재미', '없고', '지루', '웃기지도', '않고', '졸다가', '나왔어요~', '시간', '아까']"
스토리도 억지에 오글거리는 멘트에...  특히 막판엔 너무 유치해서 듣고있는것도 부끄러워지더라.,99 %,부정,"['스토리', '억지', '오글거', '멘트에...', '특히', '막판엔', '너무', '유치', '듣고있는것도', '부끄러워지더라.']"
솔직히 평점믿고 친구 꼬셔서 보러갔는데 진짜 재미없어서 실망했습니다그래서 중간에 나갈까했는데 그래 좀만 기다려보자 하고 끝까지 봤는데도 불구하고 너무너무 .. 지루한 영화였습니다 ..ㅋㅋ....,99 %,부정,"['솔직', '평점', '친구', '꼬셔서', '보러', '진짜', '재미', '실망', '중간에', '나갈까했는데', '그래', '좀만', '기다려보자', '하고', '끝까지', '봤는데', '불구하고', '너무', '..', '지루', '영화', '..']"
돈내기보기는 아까움... 요즘 볼 영화 너무 없네,99 %,부정,"['돈내기보기는', '아까', '요즘', '볼', '영화', '너무', '없네']"
잔잔하게 흘러가지만 임팩트있음,97 %,긍정,"['잔잔하게', '흘러가지만', '임팩트있음']"
내용은 건전한데 너무~~~지루합니다,83 %,부정,"['내용', '건전한데', '너무']"
결국 버티지못하고 나와버림 너무 지루하네요,96 %,부정,"['결국', '버티지못하고', '나와버림', '너무', '지루']"
뭐가 재밌다는 건지? 별 1개도 아깝습니다.,99 %,부정,"['뭐가', '재밌', '건지?', '별', '1개도', '아깝']"
진짜 재미없다.. 영어 연기도 오그라들고 반전도 없다.. 요즘은 알바를 이렇게 많이 쓰나? 밑에까지 내려도 10점이길래 한 번 봤는데 역시 광고 떡칠하는 영화는 다 이유가 있음 이솜 예쁘다 영화는 유치원생 영화같음,96 %,부정,"['진짜', '재미', '영어', '연기', '오그라', '반전', '없다..', '요즘', '알바', '이렇게', '많이', '쓰나?', '밑에까지', '내려도', '10', '한', '번', '봤는데', '역시', '광고', '떡칠하는', '영화', '다', '이유가', '있음', '이솜', '예쁘다', '영화', '유치', '영화']"
이건 또 무슨 반기업 영화냐????,99 %,부정,"['이건', '또', '무슨', '반기업', '영화']"
인크레더블버거 세트 사먹는게 이득,98 %,부정,"['인크레더블버거', '세트', '사먹는게', '이득']"
평이 너무 좋아서 기대했는데 솔직히 저는 너무 밋밋하고 뻔해서 지루했어요.,99 %,부정,"['평이', '너무', '좋아', '기대', '솔직', '저는', '너무', '밋밋하고', '뻔해서', '지루']"
내용이 너무 노골적이네요 재미 없습니다,99 %,부정,"['내용', '너무', '노골적이네요', '재미', '없습니다']"
재밌음 ㅋㅋ 옛날감성 그리고 통쾌함?,99 %,긍정,"['재밌', 'ㅋㅋ', '옛날감성', '그리고', '통쾌']"
고아성 너무 러블리함여주인공 세 명의 느낌이 약간 네이버 웹툰 아홉수우리들 주인공 세 명이랑 비슷함.전개가 답답하지 않아서 좋았음. 근데 제목의 영어토익반의 활약은 후반부 부터 나옴. 제목이 다른 거였으면 더 어울렸...,98 %,긍정,"['고아성', '너무', '러블리함여주인공', '세', '명의', '느낌', '약간', '네이버', '웹툰', '아홉수우리들', '주인공', '세', '명이랑', '비슷함.전개가', '답답하지', '않아서', '좋았', '근데', '제목', '영어토익반의', '활약은', '후반부', '부터', '나옴.', '제목', '다른', '거였으면', '더', '어울렸...']"
재미 감동 메세지 다 잡았네,98 %,긍정,"['재미', '감동', '메세지', '다', '잡았네']"
이런 상업영화는 언제나 환영ㅋㅋ 박혜수 왜 이렇게 귀욥냐,68 %,긍정,"['이런', '상업영화는', '언제나', '환영ㅋㅋ', '박혜수', '왜', '이렇게', '귀욥냐']"
진짜 쌉노잼입니다. 제가 돈 주고 봤던 영화 중에서 가장 재미없었던 영화입니다.,99 %,부정,"['진짜', '쌉노잼입니다.', '제가', '돈', '주고', '봤던', '영화', '중에서', '가장', '재미', '영화']"
너무너무 뻔한 내용에 뻔한 클리셰‘여자’ 주인공들이받는 엄청난 차별말도안되는 내용으로 떡칠한 후반부이게 진짜 재밌냐? 이게 재밌으면 영화 뭘봐도 재밌겠다부럽네,97 %,부정,"['너무', '뻔한', '내용', '뻔한', '클리셰‘여자’', '주인공', '엄청난', '차별말도안되는', '내용', '떡칠한', '후반부', '진짜', '재밌', '이게', '재밌', '영화', '뭘봐도', '재밌']"
영화로 사회를 배우는 어설픈 자들이나 좋다고 난리. 못난이 삼인방의 고군분투기.,77 %,부정,"['영화', '사회', '배우', '어설픈', '자들이나', '좋다고', '난리.', '못난이', '삼인방의', '고군분투기.']"
평점 높길래 봤는데 .... 이게 왜 9점대인지 이해불가 ㅠ 개봉하는 영화가 없어서 그런가보다..,53 %,부정,"['평점', '높길래', '봤는데', '..', '이게', '왜', '9점대', '이해', 'ㅠ', '개봉', '영화', '없어', '그런']"
최악 그자체 돈주고 보기에 3류 영화같음,99 %,부정,"['최악', '그자체', '돈주고', '보기', '3류', '영화']"
"스토리는 괜찮았으나 억지 웃음, 억지 감동을 유발하는 오글거리는 요소가 너무 많았습니다.썁썁년이라는 유행어를 만드려는건지.. 재미도 없는데 계속 썁썁거려서 너무 오글거렸어요.",99 %,부정,"['스토리', '괜찮', '억지', '웃음', '억지', '감동', '유발하는', '오글거', '요소가', '너무', '많았습니다.썁썁년이라는', '유행어를', '만드려는건지..', '재미', '없는', '계속', '썁썁거려서', '너무', '오글거']"
이딴 망한 영화를 보다니 경찰에신고해야겠다,99 %,부정,"['이딴', '망한', '영화', '보다', '경찰에신고해야겠다']"
그냥저냥..티비에서 다시하면다시보진 않을듯..,83 %,부정,"['그냥', '다시', '않을듯..']"
"어제 시사회로 관람~ 90년대 배경.패션,유행어 등 보는 재미도 있었고 감동도 있어요~ 오랜만에 좋은 또 보고 싶은 영화에요~^^",99 %,긍정,"['어제', '시사', '관람', '90년대', '배경', '등', '보는', '재미', '있었', '감동', '있어', '오랜만에', '좋은', '또', '보고', '싶은', '영화']"
삼진직원들 너무 멋져 최고야,81 %,부정,"['삼진직원들', '너무', '멋져', '최고']"
삼진그룹 영어토익반 대박예감,54 %,부정,"['삼진그룹', '영어토익반', '대박예감']"
재밌었습니다 연기도 스토리도ㅎㅎ,97 %,긍정,"['재밌', '연기', '스토리']"
긴장감 있고 통쾌하네용!,99 %,긍정,"['긴장감', '있고', '통쾌']"
근래 본 영화 중 최고~~,99 %,긍정,"['근래', '본', '영화', '중', '최고']"
세배우들의 작품 보는 안목은 너무나도 탁월하다.,63 %,긍정,"['세배우들의', '작품', '보는', '안목은', '너무', '탁월하다.']"
그때의 시대상을 무겁지 않게 잘 풀어서 보여준 듯~,99 %,긍정,"['그때의', '시대', '무겁지', '않게', '잘', '풀어', '보여', '듯~']"
평점  처음남겨보네요 그냥 재미가 없어요 웃음도 안나오고 감동도 하나도없고 보고서 여자친구랑 싸웠네요 하 ..,97 %,부정,"['평점', '처음', '그냥', '재미', '없어', '웃음', '안나오고', '감동', '하나', '보고', '여자', '싸웠네요', '하', '..']"
스토리와 배우들의 연기가 좋았습니다,93 %,긍정,"['스토리', '배우', '연기', '좋았습니다']"
"코로나로 인해 관객이 줄고, 그에 따라 실 평점 리뷰가 별로 없다보니,아예 평점 리뷰를 알바가 장악하는구나...에휴...",50 %,긍정,"['코로나', '인해', '관객이', '줄고,', '그에', '따라', '실', '평점', '리뷰가', '별로', '없다보니,아예', '평점', '리뷰를', '알바', '장악하는구나...에휴...']"
코로나라서 극장 살리기 중인지아님 알바들의 일자리 창출 중인지영화 평점을 좋게 주는 이유를 모르겠네요가짜 평점들보며 영화 고르기 참 힘드네요아무리 개인 차라고는 하지만 같이 극장에서본 사람들다 이게 왜 9점이 넘어 ...,95 %,부정,"['코로나', '극장', '살리기', '중인지아님', '알바', '일자리', '창출', '중인지영화', '평점', '좋게', '주는', '이유를', '모르겠', '평점', '영화', '고르기', '참', '힘드네요아무리', '개인', '차라고는', '하지', '같이', '극장', '사람들', '이게', '왜', '9점', '넘어', '..']"
걸스캔두애니띵~~~,96 %,부정,['걸스캔두애니띵~~~']
"스토리가 좀더 탄탄했으면 좋았겠지만 나쁘지않았어요ㅎㅎ 연기, 캐릭터, 영상 모두 다 좋았습니다~ 영화관에서 보고와도 후회안할 영화에요~",99 %,긍정,"['스토리', '좀더', '탄탄했으면', '좋았', '나쁘지않았어요ㅎㅎ', '연기', '캐릭터', '영상', '모두', '다', '좋았습니다', '영화', '보고', '후회안할', '영화']"
보면서 주인공들과 같이 성장하는 영화,86 %,긍정,"['보면서', '주인공', '같이', '성장하는', '영화']"
이걸대체 무슨생각으로 10점을 누르지;,97 %,부정,"['이걸대체', '무슨생각으로', '10', '누르지;']"
오 진짜 재밌었어요!!!배우들 연기도 완전 좋고 스토리도 의외의 반전?! 그리고 쓸데없는 씨제이 감성 없어서 좋았어요 ㅋㅋㅋ 요즘 볼영화 없었는데 이 영화 추천합니다!!,83 %,긍정,"['오', '진짜', '재밌', '연기', '완전', '좋고', '스토리', '의외의', '반전', '그리고', '쓸데없는', '씨제이', '감성', '없어', '좋았어요', 'ㅋㅋ', '요즘', '볼영화', '없었', '이', '영화', '추천']"
내용도 좋고 배우들의 연기  또 배우간 케미도 좋았습니다또 복고풍 의사미나 화장 스타일 보는 재미도 쏠쏠함,99 %,긍정,"['내용', '좋고', '배우', '연기', '또', '배우', '케미', '좋았습니다', '복고풍', '의사미나', '화장', '스타일', '보는', '재미', '쏠쏠함']"
"뻔하지 않고 요즘 편히 볼 수 있는 영화같습니다.주연배우 뿐만 아니라 조,단역까지 알차고 케미가 돋보여요! 근래 영화 중에서 강추합니다!",99 %,긍정,"['뻔하', '않고', '요즘', '편히', '볼', '수', '있는', '영화', '뿐만', '아니', '조,단역까지', '알차고', '케미', '돋보여요!', '근래', '영화', '중에서', '강추']"
"고아성, 이솜, 박혜수 등 다들 캐릭터들을 완벽하게 소화해낸ㅋㅋㅋ 90년대의 다양한 모습들을 보여준 것도 넘 마음에 들었던 영화ㅋㅋ",99 %,긍정,"['고아성', '이솜', '박혜수', '등', '다들', '캐릭터', '완벽하게', '소화해낸ㅋㅋㅋ', '90년대', '다양한', '모습들을', '보여', '것도', '넘', '마음에', '들었던', '영화']"
이런 매력적인 영화는 언제나 환영^^,99 %,긍정,"['이런', '매력', '영화', '언제나', '환영^^']"
너무 재밌게 잘 봤습니다!,91 %,긍정,"['너무', '재밌', '잘', '봤습니다']"
재밌게 봤음 이솜연기 좋음. 고아성 순간스치는 눈빛 좋고,98 %,긍정,"['재밌', '봤음', '이솜', '좋음.', '고아성', '순간스치는', '눈빛', '좋고']"
매우 재미있었습니다 !,98 %,긍정,"['매우', '재미', '!']"
연기들도 좋은 배우들이 즐거움을 주었네요영화 재미있게 잘 봤습니다,99 %,긍정,"['연기', '좋은', '배우', '즐거움을', '주었네요영화', '재미', '잘', '봤습니다']"
여기 댓글 알바들 투성이네요. 처음으로 영화관에서 잤습니다.,91 %,부정,"['여기', '댓글', '알바', '투성이네요.', '처음', '영화', '잤습니다.']"
간만에 재밌고 감동적인영화였습니다^^,99 %,긍정,"['간만에', '재밌', '감동']"
나도 내 커리어를 위해 열심히 일해야겠다는ㅎㅎㅎ,94 %,부정,"['나도', '내', '커리어를', '위해', '열심히', '일해야겠다는ㅎㅎㅎ']"
상큼발랄하고 재밌어요 ~,88 %,긍정,"['상큼발랄하고', '재밌', '~']"
아무리 좌파 영화판이라지만 이젠 하다하다 페미니즘으로 삼성까지 까내리네 ㅋㅋ 이쯤되면 한국 영화계 자체가 정치선동집단 아니냐? 문재인 정권하에 한국영화 보지맙시다! 진짜 개토악질 나옴 ㅋㅋ,75 %,부정,"['아무리', '좌파', '영화', '이젠', '하다하다', '페미', '삼성까지', '까내리네', 'ㅋㅋ', '이쯤되면', '한국', '영화', '자체가', '정치선동집단', '아니', '문재인', '정권하에', '한국영화', '보지맙시다!', '진짜', '개토악질', '나옴', 'ㅋㅋ']"
"사회적 의미도 있고, 캐릭터도 생생하고, 끝까지 흥미를 놓지 않게 해준다",96 %,긍정,"['사회', '의미도', '있고', '캐릭터', '생생하고,', '끝까지', '흥미를', '놓지', '않게', '해준다']"
내돈주고 보기 안아까움! 오랜만에 상영내내 울고 웃음 한국 영화,99 %,긍정,"['내돈주고', '보기', '안아까움!', '오랜만에', '상영내내', '울고', '웃음', '한국', '영화']"
간만에 재밌고 유머와 감동있는 영화였어요 추천해요!!,99 %,긍정,"['간만에', '재밌', '유머와', '감동', '영화', '추천']"
개인적으로 올해 개봉한 영화들 중 제일 재밌게 봄,99 %,긍정,"['개인적으로', '올해', '개봉', '영화', '중', '제일', '재밌', '봄']"
아캔두잇 유캔두잇 위캔두잇!!,95 %,부정,"['아캔두잇', '유캔두잇', '위캔두잇!!']"
너무 재밌게 보았어요.뭔가 활기를 준 느낌? 꼭 다들 보셨으면 해요~!,96 %,긍정,"['너무', '재밌', '보았어요.뭔가', '활기를', '준', '느낌', '꼭', '다들', '보셨으면', '해요~!']"
유쾌한 90년대 추억공감 감성영화~,99 %,긍정,"['유쾌', '90년대', '추억공감', '감성']"
"가장 낮은 곳의 보이지 않았던 노동자들이 세상을 바꿔 나가는 모습을 응원하게 되었습니다. 세상 모든 곳에 아직도 살아 숨 쉬고 있는 자영, 유나, 보람이들 화이팅!!",94 %,긍정,"['가장', '낮은', '곳의', '보이지', '않았', '노동자들이', '세상', '바꿔', '나가는', '모습을', '응원하게', '되었습니다.', '세상', '모든', '곳에', '아직도', '살아', '숨', '쉬고', '있는', '자영,', '유나,', '보람이들', '화이팅!!']"
가볍게봤는데 생각보다 재밌다!,98 %,긍정,"['가볍', '생각', '재밌']"
이시국에 오랜만에 재미있는 영화봤어요 :) 엄마 아빠랑 같이 봤는데 엄마가 너무 좋아하시더라구요세명의 배우들 모두 연기가 좋구요나오는 배우님들 다 멋있었습니다!,99 %,긍정,"['이시국에', '오랜만에', '재미', '영화', ':)', '엄마', '아빠랑', '같이', '봤는데', '엄마', '너무', '좋아하', '배우', '모두', '연기', '좋구요나오는', '배우', '다', '멋있']"
별로 재미 없습니다.,99 %,부정,"['별로', '재미', '없습니다.']"
예상되는 스토리 반전없는 뻔한 결말과 전개ㄴㅈ,95 %,부정,"['예상되는', '스토리', '반전', '뻔한', '결말', '전개']"
나만재미없게 봤나?회사스토리가 나올줄 알았는데..왠 추리물..사원들이 뭔 탐정이야 형사야?일은 안하고...말이 안되는 연출에 계속 몰입방해되서중간에 나올뻔...,99 %,부정,"['나만재미없게', '봤나?회사스토리가', '나올줄', '알았는데..왠', '추리물..사원들이', '뭔', '탐정이야', '형사야?일은', '안하고...말이', '안되', '연출', '계속', '몰입', '나올뻔...']"
솔직히 앞부분은 좀 괜찮았는데 뒤로갈수록 너무 오글거려서 못봤네요 원래 스토리 자체가 재밌지가 않아서 억지로 재밌게 하려고 악역들이 과장시키는게 보이고... 제 주변 몇안되는 관객들도 끝나고 그렇게 좋은 반응은 아니...,98 %,부정,"['솔직', '앞부분은', '좀', '괜찮', '뒤로갈수록', '너무', '오글거', '못봤네요', '원래', '스토리', '자체가', '재밌', '않아서', '억지', '재밌', '하려고', '악역들이', '과장시키는게', '보이고...', '제', '주변', '몇안되는', '관객들도', '끝나고', '그렇게', '좋은', '반응은', '아니']"
"너무 뻔하고 어렸을 때 봤던 파워레인저를 다시 보는듯한 권선징악이 또렷한 영화였다.이솜, 박혜수 두 분 모두 너무 좋아하는 배우라 영화푯값이 아깝지는 않았지만 영화를 보는 내내 시간이 아깝다는 생각은 떨칠 수가 없었...",84 %,부정,"['너무', '뻔하', '어렸을', '때', '봤던', '파워레인저를', '다시', '보는', '권선징악이', '또렷한', '영화', '박혜수', '두', '분', '모두', '너무', '좋아하', '배우', '영화', '아깝', '않았', '영화', '보는', '내내', '시간', '아깝', '생각', '떨칠', '수가', '없었']"
핵노잼 핵노잼 핵노잼.      답이 없다 ㅗㅗㅗ,99 %,부정,"['핵노잼', '핵노잼', '핵노잼.', '답이', '없다', 'ㅗㅗㅗ']"
평점보고 봤는데 대실망..,99 %,부정,"['평점', '봤는데', '대실망..']"
웬만하면 영화 평점 안 남기는데... 너무 재미 없고 돈 아까워서 굳이 굳이 찾아와 남깁니다... 어머니와 영화 보러 갈 땐 항상 그 시간이 귀중해서 마음이 열려 있기에 웬만해선 재밌다 평하는데도 이 영화는 어머니께...,99 %,부정,"['웬만하면', '영화', '평점', '안', '남기는데...', '너무', '재미', '없고', '돈', '아까', '굳이', '굳이', '찾아와', '남깁니다...', '어머니와', '영화', '보러', '갈', '땐', '항상', '그', '시간', '귀중해서', '마음이', '열려', '있기에', '웬만해선', '재밌', '평하는데도', '이', '영화', '어머니께...']"
역시나 최악의영화~~~,99 %,부정,"['역시나', '최악의']"
머 다 알바인가 이런 쓰레기같은 영화를 돈주고봤다는게 어이가없다다 쓰레기같은데 결말에서는 그냥 손발이 너무오그라들어서 잘라버리고싶었다 내가 다 창피하네,99 %,부정,"['머', '다', '알바', '이런', '쓰레기', '영화', '돈주고봤다는게', '어이가없다다', '쓰레기', '결말', '그냥', '손발이', '너무', '잘라버리고싶었다', '내가', '다', '창피하네']"
보기 쉽지않은 평점 9점대 영화길래 혹해서 봤는데 영화보다가 잠들 뻔 한 적은 처음입니다. 다음 장면이 알아서 그려지는 정말 뻔한 전개에 보기 민망할 정도의 억지감동 연출과 몇몇 꾸밈있는 걸크러쉬 장면이 손발이 오그...,99 %,부정,"['보기', '쉽지않은', '평점', '9점대', '영화', '혹해서', '봤는데', '영화', '잠들', '뻔', '한', '적은', '처음', '다음', '장면', '알아서', '그려지는', '정말', '뻔한', '전개', '보기', '민망할', '정도', '억지', '연출', '몇몇', '꾸밈있는', '걸크러쉬', '장면', '손발이', '오그']"
기생충이라는 명작이 나오는 시대에 이런 영화가 나오다니.대중의 수준을 얼마나 얕봐야 이딴 영화를 만들수있는지.,99 %,부정,"['기생충이라는', '명작이', '나오는', '시대', '이런', '영화', '나오', '수준을', '얼마나', '얕봐야', '이딴', '영화', '만들']"
"와 진짜 단한번을 안웃고, 개연성도 떨어지고,.., 평점에 속아서 보고 왔는데SKT VIP 무료로 봤는데도, 주차비 1500원이 아까웠던 영화.",99 %,부정,"['와', '진짜', '단한번을', '안웃고,', '개연성', '떨어지고,..,', '평점', '속아서', '보고', '왔는데SKT', 'VIP', '무료로', '봤는데', '주차비', '1500원이', '아까', '영화']"
귀찮아서 평점 안남길려고 했는데 평점 아르바이트 대단하다!!,91 %,부정,"['귀찮아서', '평점', '안남길려고', '했는데', '평점', '아르바이트', '대단하다!!']"
커플모임이라 8명이 봄 하나같이 재미없다고함심지어 나랑 내 여친은 보다가 잠듬,98 %,부정,"['커플모임이라', '8명이', '봄', '하나', '재미', '나랑', '내', '여친은', '보다', '잠듬']"
생각보다 별로입니다 개연성도 부족하고,99 %,부정,"['생각', '별로', '개연성', '부족하고']"
평점 어이가 없네.  뻔함 지루 오글,99 %,부정,"['평점', '어이가', '없네.', '뻔함', '지루', '오글']"
"진정한 평점을 확인하고 싶은 자 고개들어 남녀 평점 차를 보라, 결단코 예외는 없을지니.",94 %,부정,"['진정한', '평점', '확인하고', '싶은', '자', '고개들어', '남녀', '평점', '차를', '보라,', '결단코', '예외는', '없을지니.']"
정체성 없는 영화다  이게 평점이 저리 높은게 충격이다,95 %,부정,"['정체성', '없는', '영화', '이게', '평점', '저리', '높은', '충격이다']"
코로나 사태 때문에 거의 1년만에 간 영화관... 스토리 라인은 응답하라 시리즈보다 부실함 그리고 영화관에서 단 한번의 웃음조차 나오지 않았음... 실화기반으로 억지스러운 스토리 전개... 돈과 시간이 모두 아까웠음...,99 %,부정,"['코로나', '사태', '때문에', '거의', '1년만에', '간', '영화', '스토리', '라인은', '응답하라', '시리즈보다', '부실함', '그리고', '영화', '단', '한번', '웃음', '나오', '않았', '실화기반으로', '억지', '스토리', '전개', '돈과', '시간', '모두', '아까']"
일본드라마 쇼무니 표절이네,92 %,부정,"['일본드라마', '쇼무니', '표절이네']"
오글거려서 눈감고봤습니다..,78 %,부정,"['오글거', '눈감고봤습니다..']"
아이캔두잇만  생각나는 본전 생각나는 한국 영화정말 재미없다,98 %,부정,"['아이캔두잇만', '생각', '본전', '생각', '한국', '영화', '재미']"
잠 잘잤어요.. 뻔한전개,98 %,부정,"['잠', '잘잤어요..', '뻔한']"
노잼.. 시간이 아까웠다,99 %,부정,"['노잼', '시간', '아까']"
좆노잼 말도 안됨 중간에 차에서 내려서 얘기하는 씬에서 실소가...,99 %,부정,"['좆노잼', '말도', '안됨', '중간에', '차에서', '내려서', '얘기하는', '씬에서', '실소가...']"
wlsWK dhfgo qhs dudghk wnd chlrhbbb whdakfwhdakf Ekd dPQh!!,71 %,긍정,"['wlsWK', 'dhfgo', 'qhs', 'dudghk', 'wnd', 'chlrhbbb', 'whdakfwhdakf', 'Ekd', 'dPQh!!']"
그냥 좌파영화인데요? 안티 미국 안티 일본 안티 대기업 안티 남자 영화네요~ 그럼 ㅅㄱ,74 %,부정,"['그냥', '좌파영화인데요?', '안티', '미국', '안티', '일본', '안티', '대기업', '안티', '남자', '영화', '그럼', 'ㅅㄱ']"
연기도 잘하고 영화도 지루하지 않았지만 그것만으로 높은점수를 주기에 살짝 아쉬웠던 영화,98 %,긍정,"['연기', '잘하', '영화', '지루', '않았', '그것만으로', '높은', '주기에', '살짝', '아쉬웠던', '영화']"
이영화가 왜그렇게 순위가 높구 재밌다고 했는지도저히 이해가 안되네요 최근본 영화중에 제일 재미없는 영화였습니다클레멘타인 이후 명작정도,99 %,부정,"['이영화', '왜그렇게', '순위가', '높구', '재밌', '했는지도저히', '이해', '안되', '최근본', '영화', '제일', '재미', '영화', '이후', '명작정도']"
개노잼개노잼개노잼개노잼,99 %,부정,['개노잼개노잼개노잼개노잼']
